"S.No","RMSE","std. RMSE","Meaning_Error","std. Meaning_Error","Sentence_Error","std. Sentence_Error","best","input_dim"
1,0.4346106203,0.0054928157,0.1468208222,0.0058382143,0.4045576408,0.015807846,25.74,20
2,0.414419217,0.0045350334,0.1423302055,0.0053405397,0.3986595174,0.0056590313,26.01,30
3,0.4156784882,0.0031425711,0.1428842717,0.0034123806,0.4029490617,0.0113074735,25.73,50
4,0.4346106203,0.0054928157,0.1468208222,0.0058382143,0.4045576408,0.015807846,24.93,100
5,0.4215139809,0.0042643607,0.149984361,0.0072853219,0.4131367292,0.0155017599,27.88,200
6,0.4543100102,0.0042922847,0.1617381591,0.0074737104,0.4238605898,0.0156044557,31.36,300
